
"ID_REF"	"GSM310494"	"GSM310495"	"GSM310496"	"GSM310497"	"GSM310499"	"GSM310500"	"GSM310501"	"GSM310502"	"GSM310503"	"GSM310504"
1										
2										
3										
4										
5										
6										
7										
8										
9										
10	5.3	-0.6	6.3	-3.2	4.1	-3.5	-2.0	6.6	1.9	-2.6
11	-0.9	-1.4	1.0	-1.0	-0.2	-0.2	-1.3	-1.1	-1.6	-2.0
12	1.2	0.5	0.2	-1.1	0.2	0.6	0.3	-0.9	-0.1	-0.9
13										
14										
15	-2.4	-1.4	-0.1	-0.9	-1.3		-0.1	-1.5		-2.1
16	-0.5	-2.4	0.2	-1.8	-1.7	1.4	1.7	-1.0		-1.1
17	-1.3	-1.5	0.3	-1.1	-3.1		-2.4	-0.8	-1.3	-1.5
18	-0.3	-2.0	1.3	-0.7	-1.8	-2.0	-1.7	-1.5		-3.1
19	-0.9	-2.1	-1.2	-1.0		-1.2	-2.1	-0.7	-0.9	-2.0
20										
21	-0.9	-2.2	-3.1	-3.2		-1.8	-1.8	-0.7		-3.3
22	-1.3	-0.6	-1.6	-0.6			0.8	-2.1	-0.6	-1.9
23	-2.6	-1.9	-2.0	-2.3	-0.7		-1.7	-1.3	-2.1	-2.1
24	0.3	-1.1	0.5	-1.8	1.0	0.1	-0.7	-0.7	-0.5	-2.0
25	1.4	-0.8	0.9	-1.0	1.3		0.0	-0.6	-1.7	-2.4
26	1.0	-0.2	0.2	-0.6			0.1	0.4		-2.7
27	-0.4	-1.1	0.2	-0.2	1.1		-1.1	-1.0	-3.1	-1.9
28	0.5	-0.2	0.1	-0.3	0.0		0.5	-1.1	-0.9	-1.9
29	0.1	-1.6	0.8	-0.6	-0.9		-0.1	-0.7	-2.1	-1.7
30	-0.9	-0.9	1.1	-1.3	-1.8		-0.5	-0.1		-2.7
31	-0.3	-1.8	0.1	-0.8	-0.1		-1.0	-1.6	-2.0	-2.4
32	-0.8	-1.7	-2.3	-0.7				-0.3		-3.2
33	-0.8	-1.5	-0.8	-2.2			-0.1	-0.4		-2.8
34	-1.1	-1.8	-0.3	-1.0				-0.7	-2.6	-2.6
35	0.4	-0.9	-0.9	-0.5	0.8		1.0	-1.4	-1.0	-1.4
36	-1.1	-1.2	0.1	-1.8	-5.2			0.8	-3.1	-5.0
37	-0.9	-2.0	0.0	-0.9				-0.5	-1.7	-2.2
38	-0.9	-1.7	-0.6	-0.9	-0.1	-1.5	-0.7	-0.6	-1.9	-2.4
39	-1.2	-1.8	-4.4	-2.2				-0.1	-2.8	-3.0
40	-0.6	-0.5	0.2	-1.5	-0.8		0.1	-1.0	-1.1	-1.6
41	-1.4	-1.4	-2.2	-1.6		-1.1		-0.7		-3.4
42	-0.6	-1.8	-1.3	-0.5			-0.7	0.4		-3.0
43	-1.2	-1.2	0.6	-1.3	-0.9		-0.7	-1.5		-3.1
44		-2.1	-3.4	-3.1			-1.8	-0.3		-4.0
45	-1.9	-1.4	-2.1	-1.1				-0.1	-3.2	-2.9
46	-0.9	-0.9	0.2	-2.0	0.2		-0.8	0.9		-3.4
47	-1.9	-1.6	-1.6	-1.9				-0.6	-1.9	-4.0
48	-0.7	-1.5	-0.5	-1.8	-1.7			-0.5	-3.1	-3.9
49										
50										
51										
52										
53										
54										
55										
56										
57										
58	-1.6	-0.3	0.2	-1.1	0.5		1.0	-2.0	-2.3	-1.0
59	-0.5	-1.7	1.4	-1.7	0.3	-1.0	1.1	-1.9	-0.8	-3.2
60	-0.1	-1.6	2.1	-1.1	-0.5	-0.3	0.7	-1.2	-1.5	-2.4
61										
62										
