"";"GSM109131";"GSM109132";"GSM109133";"GSM109134";"GSM109135";"GSM109136";"GSM109137";"GSM109138";"Sequence.Source";"Target.Description";"Representative.Public.ID";"Gene.Title";"Gene.Symbol";"ENTREZ_GENE_ID";"RefSeq.Transcript.ID";"Gene.Ontology.Biological.Process";"Gene.Ontology.Cellular.Component";"Gene.Ontology.Molecular.Function";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"121_at";282,5;278,4;314,5;315,1;354,4;311,6;238,5;303,5;NA;NA;NA;NA;NA;7849;NA;NA;NA;NA;-4,67500000000001;299,8125;-0,190362328612918;0,854170039403459;0,884261024948147;-4,61987436139084
"1598_g_at";290,5;315,2;348,1;363,7;358,8;341,8;351,3;349,6;NA;NA;NA;NA;NA;2621;NA;NA;NA;NA;-5,39999999999998;339,875;-0,292033392883604;0,778322153699288;0,820888955876537;-4,61849660748865
"160020_at";316,3;271,7;415,9;355,5;287,4;288,6;434,1;303,6;NA;NA;NA;NA;NA;4323;NA;NA;NA;NA;58,5750000000002;334,1375;1,56954224243044;0,158423754007484;0,222643099635012;-4,56788390361101
"177_at";69,4;121,9;65,8;116,5;69,7;104,4;65,5;136,6;NA;NA;NA;NA;NA;5337;NA;NA;NA;NA;-52,25;93,725;-5,4113936599006;0,000843350282215565;0,0042388845859052;-4,44954678335511
"179_at";265;227,8;316,2;259,8;287,1;309,1;212,3;249,2;NA;NA;NA;NA;NA;441263;NA;NA;NA;NA;8,67499999999995;265,8125;0,330214879459033;0,750439115945072;0,800295478102713;-4,61783554998338
"200000_s_at";424,2;305,3;398,3;277,7;330,7;306,2;445;372,3;NA;NA;NA;NA;NA;10594;NA;NA;NA;NA;84,1749999999998;357,4625;2,82345504184969;0,0243487914187749;0,0470376304486524;-4,51021360826968
"200001_at";971,2;1097,3;927;956,4;928,3;1249,8;1157,8;1221,7;NA;NA;NA;NA;NA;826;NA;NA;NA;NA;-135,225;1063,6875;-1,72058957705357;0,126908510611367;0,183889869015271;-4,56020046850266
"200002_at";1563,8;1704,5;1722,3;1748,8;1614,6;1811,4;1759,3;1725,6;NA;NA;NA;NA;NA;11224;NA;NA;NA;NA;-82,5750000000007;1706,2875;-1,76571075874023;0,118699850571936;0,174084755763542;-4,55791755596261
"200003_s_at";2404,1;2736,1;2672,1;3075;2585,5;3080,9;2586,5;3318,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-490,599999999999;2807,35;-4,09516971680215;0,00413384493611535;0,0125873765214828;-4,47228203025901
"200004_at";2177,6;2438,7;1989,8;2159,5;2244,2;2460,9;1903,5;2479,5;NA;NA;NA;NA;NA;1982;NA;NA;NA;NA;-305,875;2231,7125;-3,08168579381167;0,0166986327959024;0,0350507205398496;-4,50083500972944
"200005_at";595,3;796,9;522,2;590,8;566,5;809,4;601,3;791,2;NA;NA;NA;NA;NA;8664;NA;NA;NA;NA;-175,75;659,2;-3,48351834922526;0,00943591207072324;0,0229252211901999;-4,48804061823752
"200006_at";1210,5;1208,1;1041,8;1168,2;1258,8;1312;1416,3;1353,3;NA;NA;NA;NA;NA;11315;NA;NA;NA;NA;-28,5500000000002;1246,125;-0,355994292464189;0,731831609308985;0,784367571999634;-4,61734599556813
"200008_s_at";689,4;754,3;489,6;524,2;561,3;700,1;505;757,7;NA;NA;NA;NA;NA;2665;NA;NA;NA;NA;-122,75;622,7;-1,89579534558277;0,0977711494508891;0,148083164453296;-4,55139811739929
"200009_at";1182,8;1221,5;1128,8;1103,6;1179,3;1266,1;1394,9;1509,7;NA;NA;NA;NA;NA;2665;NA;NA;NA;NA;-53,7750000000005;1248,3375;-0,571855650966499;0,584455629173701;0,658698572327665;-4,61195664594
"200010_at";2229,7;2671;2267,6;3354,7;2015,1;3138;1966,5;2885,4;NA;NA;NA;NA;NA;6135;NA;NA;NA;NA;-892,550000000001;2566;-5,91793001342671;0,000487481146063341;0,00297479870071199;-4,44358966532018
"200011_s_at";405;263,8;422;215,3;382,9;219,1;439,2;256,9;NA;NA;NA;NA;NA;377;NA;NA;NA;NA;173,5;325,525;9,97794990916092;1,54559008731543e-05;0,000351185769114679;-4,42054999280012
"200012_x_at";2525;2465,1;2761;2859,4;2348,8;2662,6;2688,1;3145,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-202,349999999999;2681,9;-1,30422896635207;0,231460425237309;0,306897847124573;-4,58127654806986
"200013_at";2125;2224,5;2521,8;2689,1;2074,4;2284,3;1970,6;2078;NA;NA;NA;NA;NA;6152;NA;NA;NA;NA;-146,025000000001;2245,9625;-0,908048362343724;0,392613981211921;0,475449026329354;-4,59968450942126
"200014_s_at";578,9;686,8;474,9;659;553,2;750,8;591,7;538,4;NA;NA;NA;NA;NA;3183;NA;NA;NA;NA;-109,075;604,2125;-2,31102471337525;0,0523388540924478;0,088490105214446;-4,53161167470184
"200015_s_at";1220,7;1119,9;1206,1;998,4;1297;957,1;1231,8;975,1;NA;NA;NA;NA;NA;4735;NA;NA;NA;NA;226,275;1125,7625;5,87213049441013;0,000511564350623494;0,00305180279630815;-4,44408087181897
"200016_x_at";2729,1;2960,9;2536,5;2857;2613,5;2583,3;2661,8;3663;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-380,825000000001;2825,6375;-1,80572853082946;0,111843453740877;0,166001748283493;-4,55590100166456
"200017_at";2315,7;2337,6;2408,3;2493;2538,3;2733,7;2139,5;1580,5;NA;NA;NA;NA;NA;6233;NA;NA;NA;NA;64,2500000000005;2318,325;0,270763842940293;0,794009732492384;0,834581766514516;-4,61883123659685
"200018_at";2612,1;2899,3;3118,1;3577,1;2765,3;3562,2;2870,4;3699,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-593,025;3137,9875;-3,12572010667277;0,0156703030075361;0,0333971077911955;-4,49932839587885
"200019_s_at";1510,2;1644,8;1394,9;1546,1;1559,4;1700,1;1750,7;1656;NA;NA;NA;NA;NA;2197;NA;NA;NA;NA;-82,9499999999998;1595,275;-1,12914911449242;0,294289913476751;0,376089778980643;-4,58976772195146
"200020_at";578,1;119,2;507,7;149,4;604,2;89,8;602,5;149,9;NA;NA;NA;NA;NA;23435;NA;NA;NA;NA;446,05;350,1;17,6259367498761;2,74669194412297e-07;3,46707433128613e-05;-4,41046654203291
"200021_at";3773,2;4014,2;4380,8;4453,6;4021,3;4040,6;4040,1;5105,8;NA;NA;NA;NA;NA;1072;NA;NA;NA;NA;-349,699999999998;4228,7;-1,36457973757042;0,212639333905824;0,286025396103887;-4,57826664760279
"200022_at";2078,8;2700,6;2578,6;2751,8;2414,6;3188,6;2600,7;3213;NA;NA;NA;NA;NA;6141;NA;NA;NA;NA;-545,324999999999;2690,8375;-3,30020644047963;0,0122104237845335;0,0277823407207289;-4,49361555351046
"200023_s_at";1371,1;1483,5;1320,7;1647,8;1370,7;1400,3;1286,1;1518,2;NA;NA;NA;NA;NA;8665;NA;NA;NA;NA;-175,3;1424,8;-3,46179635319271;0,00972623552162217;0,0234765371956061;-4,48867914230877
"200024_at";2041,5;2081,7;2097,4;2432,4;1728,6;2104,8;2291;2411,8;NA;NA;NA;NA;NA;6193;NA;NA;NA;NA;-218,05;2148,65;-1,60198285411841;0,151098918295348;0,213483437347332;-4,56623125226288
"200025_s_at";2325,1;2802,6;2711,6;2771,5;2645,9;2726,4;2418,8;2804,7;NA;NA;NA;NA;NA;6155;NA;NA;NA;NA;-250,95;2650,825;-2,96413310918787;0,0198085927297145;0,0399625586708442;-4,50498825517028
"200026_at";1481,1;1772,4;1894,2;2415,9;1763,7;2530,9;2264,9;2588,5;NA;NA;NA;NA;NA;6164;NA;NA;NA;NA;-475,950000000001;2088,95;-2,11719011283595;0,070098779384605;0,111972568507937;-4,54061653954615
"200027_at";706,2;776,8;645,9;743,3;707;747,9;684,3;872,1;NA;NA;NA;NA;NA;4677;NA;NA;NA;NA;-99,175;735,4375;-3,20995922334048;0,0138854271075942;0,0305666516668959;-4,49651959174489
"200028_s_at";549,6;506,2;563,1;510;518,9;478,4;683,5;503,4;NA;NA;NA;NA;NA;56910;NA;NA;NA;NA;79,2750000000001;539,1375;2,32677713235485;0,0511116528497657;0,0866262190807442;-4,53090029517494
"200029_at";2739;2637;2775,1;3139,3;2469,2;2688,7;2471,6;3473,4;NA;NA;NA;NA;NA;6143;NA;NA;NA;NA;-370,875000000001;2799,1625;-1,91020138719372;0,0956848152339533;0,145518473113192;-4,55068322916355
"200030_s_at";2260,9;2483,4;2391,8;2708,3;2206,6;2716,4;2657,4;3156,9;NA;NA;NA;NA;NA;5250;NA;NA;NA;NA;-387,075;2572,7125;-2,47300683096248;0,0410237617185728;0,0718077442751192;-4,5244534106426
"200031_s_at";2831,8;3490,3;2803,5;3337,9;2864,5;3651,8;3270,5;3502,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-553,025000000001;3219,0875;-4,79984136335972;0,00171115213836562;0,00696244613661733;-4,45856839125071
"200032_s_at";3360,1;3636,8;3648,5;4022,6;3467,5;3910,1;3172,8;4546;NA;NA;NA;NA;NA;6133;NA;NA;NA;NA;-616,650000000001;3720,55;-3,1756493673751;0,0145848837649196;0,0315946641687445;-4,49765204053721
"200033_at";1340,1;714,3;1453,3;786,9;1334,7;822,2;1219,1;833,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;547,55;1063,025;10,9303816574838;8,20685441994412e-06;0,000241168621419945;-4,4181672062715
"200034_s_at";1933,2;2008,3;2253;2215,5;2074,8;2415,4;1890,2;2256,7;NA;NA;NA;NA;NA;6128;NA;NA;NA;NA;-186,174999999999;2130,8875;-1,75563591622912;0,120487926293352;0,176056285880894;-4,55842651934749
"200036_s_at";1323,1;1640,9;1310,1;1582,2;1335,7;1723;1377,5;1923,6;NA;NA;NA;NA;NA;4736;NA;NA;NA;NA;-380,825000000001;1527,0125;-5,51999541648064;0,000747751132021142;0,00390320468726074;-4,44816691990895
"200037_s_at";689,2;557,2;702,5;502,2;643,2;576,5;603,6;373,5;NA;NA;NA;NA;NA;11335;NA;NA;NA;NA;157,275;580,9875;3,3703790385108;0,0110571375137659;0,0257489902521828;-4,49143099249703
"200038_s_at";2615,2;2898,4;2942,4;3201;2954,6;3112;2745,2;3650,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-401,125;3014,9125;-2,48990774648976;0,0399968334131459;0,0702759926531517;-4,52372699139423
"200039_s_at";702;815,7;742,6;834,2;671;900,7;816,5;913,5;NA;NA;NA;NA;NA;5690;NA;NA;NA;NA;-133;799,525;-3,63617018734724;0,00764030935030971;0,0195279696878141;-4,48371476696691
